Date,RSI,MACD,Volatility,Daily_Return
2022-01-03,,,,
2022-01-04,,,,-0.003304
2022-01-05,,,,-0.001949
2022-01-06,,,,0.015943
2022-01-07,,,,-0.002307
2022-01-10,,,,-0.032442
2022-01-11,,,,0.007811
2022-01-12,,,,-0.005382
2022-01-13,,,,-0.004274
2022-01-14,,,,0.003050
2022-01-17,,,,0.005610
2022-01-18,,,,0.026099
2022-01-19,,,,0.014946
2022-01-20,,,,0.002931
2022-01-21,53.432,,,-0.015743
2022-01-24,45.760,,,-0.021823
2022-01-25,47.898,,,0.005920
2022-01-26,56.999,,,0.029344
2022-01-27,57.397,,,0.001417
2022-01-28,56.662,,,-0.001839
2022-01-31,60.287,,0.233125,0.012199
2022-02-01,48.805,,0.261096,-0.031478
2022-02-02,46.919,,0.262094,-0.006370
2022-02-03,50.543,,0.258882,0.011288
2022-02-04,56.228,,0.267980,0.019715
2022-02-07,54.554,0.9474,0.238502,-0.004793
2022-02-08,57.065,1.0217,0.238818,0.008785
2022-02-09,58.745,1.1171,0.237254,0.005960
2022-02-10,63.361,1.3253,0.241061,0.017712
2022-02-11,54.336,1.2719,0.260979,-0.023991
2022-02-14,57.763,1.3221,0.263345,0.013001
2022-02-15,47.870,1.0739,0.277931,-0.032820
2022-02-16,36.525,0.4084,0.338461,-0.057139
2022-02-17,34.650,-0.2150,0.339190,-0.012852
2022-02-18,31.981,-0.8477,0.341233,-0.019648
2022-02-21,37.126,-1.1890,0.344941,0.019773
2022-02-22,40.880,-1.3299,0.349359,0.015114
2022-02-23,36.708,-1.6247,0.339207,-0.026320
2022-02-24,41.278,-1.6958,0.349078,0.019142
2022-02-25,37.897,-1.8944,0.354629,-0.021548
2022-02-28,37.686,-2.0387,0.349273,-0.001397
2022-03-01,36.747,-2.1723,0.335469,-0.005966
2022-03-02,37.589,-2.2303,0.336287,0.003017
2022-03-03,42.648,-2.1145,0.341479,0.018510
2022-03-04,46.394,-1.8911,0.337328,0.014545
2022-03-07,48.466,-1.6324,0.339833,0.008197
2022-03-08,52.096,-1.2981,0.343228,0.014799
2022-03-09,54.694,-0.9359,0.345368,0.011027
2022-03-10,51.059,-0.7457,0.338967,-0.013294
2022-03-11,47.224,-0.7063,0.333483,-0.015282
2022-03-14,44.921,-0.7423,0.328348,-0.009840
2022-03-15,48.073,-0.6755,0.315244,0.011485
2022-03-16,46.802,-0.6536,0.240631,-0.005002
2022-03-17,58.884,-0.2352,0.297080,0.051886
2022-03-18,54.176,-0.0447,0.294978,-0.017524
2022-03-21,48.620,-0.0805,0.303511,-0.023675
2022-03-22,52.394,0.0256,0.304990,0.017407
2022-03-23,58.493,0.3560,0.304407,0.031780
2022-03-24,60.548,0.7042,0.300730,0.011625
2022-03-25,63.726,1.1225,0.289132,0.018888
2022-03-28,68.435,1.7016,0.301609,0.031879
2022-03-29,67.952,2.1225,0.299357,-0.001569
2022-03-30,59.149,2.1652,0.329313,-0.030805
2022-03-31,56.376,2.0812,0.331529,-0.011206
2022-04-01,60.184,2.1673,0.335126,0.021464
2022-04-04,52.801,1.9489,0.358745,-0.031261
2022-04-05,53.039,1.7655,0.356119,0.001238
2022-04-06,54.258,1.6510,0.354971,0.006071
2022-04-07,52.685,1.4899,0.351820,-0.006442
2022-04-08,56.152,1.4797,0.348482,0.016419
2022-04-11,58.823,1.5641,0.345833,0.013277
2022-04-12,67.272,2.0427,0.382658,0.051571
2022-04-13,69.232,2.5184,0.380522,0.014139
2022-04-14,65.331,2.7476,0.350299,-0.012906
2022-04-15,61.923,2.7917,0.346015,-0.011860
2022-04-18,57.162,2.6400,0.340061,-0.017795
2022-04-19,60.987,2.6739,0.342220,0.021450
2022-04-20,57.818,2.5658,0.333285,-0.011970
2022-04-21,57.540,2.4428,0.332277,-0.001046
2022-04-22,60.830,2.4646,0.331135,0.016985
2022-04-25,56.479,2.3189,0.318520,-0.015416
2022-04-26,54.871,2.1270,0.319282,-0.005961
2022-04-27,45.549,1.6102,0.332568,-0.040008
2022-04-28,41.319,0.9956,0.340582,-0.023315
2022-04-29,39.343,0.4065,0.332217,-0.011990
2022-05-02,41.729,0.0168,0.316512,0.009646
2022-05-03,47.908,-0.0747,0.330894,0.026757
2022-05-04,47.929,-0.1447,0.330331,0.000093
2022-05-05,49.420,-0.1466,0.329823,0.006250
2022-05-06,50.453,-0.1118,0.325171,0.004195
2022-05-09,56.081,0.1190,0.333185,0.024364
2022-05-10,60.207,0.4699,0.285370,0.020154
2022-05-11,61.493,0.7960,0.281473,0.006521
2022-05-12,55.063,0.8526,0.288183,-0.021741
2022-05-13,59.268,1.0612,0.295053,0.020375
2022-05-16,61.015,1.2900,0.288382,0.008883
2022-05-17,65.931,1.6963,0.294598,0.027493
2022-05-18,65.878,1.9938,0.290111,-0.000158
2022-05-19,72.423,2.5968,0.323762,0.043468
2022-05-20,69.861,2.9700,0.323188,-0.007396
2022-05-23,74.496,3.5610,0.333848,0.035548
2022-05-24,74.864,4.0129,0.331032,0.003033
2022-05-25,70.909,4.2157,0.290246,-0.010859
2022-05-26,62.970,4.0928,0.291714,-0.024326
2022-05-27,62.122,3.9233,0.285116,-0.002822
2022-05-30,67.431,4.0433,0.296937,0.031813
2022-05-31,70.130,4.2694,0.291991,0.018460
2022-06-01,72.268,4.5517,0.290800,0.015656
2022-06-02,57.407,4.2043,0.364233,-0.051769
2022-06-03,60.024,4.0370,0.365460,0.016141
2022-06-06,62.037,3.9824,0.360702,0.012729
2022-06-07,59.081,3.7812,0.363016,-0.011599
2022-06-08,55.832,3.4524,0.369027,-0.013302
2022-06-09,55.919,3.1597,0.356300,0.000449
2022-06-10,62.693,3.2598,0.371689,0.038447
2022-06-13,56.915,3.0769,0.385654,-0.022713
2022-06-14,54.828,2.8126,0.378978,-0.008911
2022-06-15,60.157,2.8646,0.390888,0.030459
2022-06-16,57.841,2.7810,0.365394,-0.009315
2022-06-17,55.987,2.6104,0.365434,-0.007513
2022-06-20,56.513,2.4727,0.343344,0.002651
2022-06-21,49.991,2.0764,0.356329,-0.026808
2022-06-22,51.167,1.7926,0.355116,0.005339
2022-06-23,45.500,1.3018,0.356768,-0.026111
2022-06-24,49.947,1.0873,0.363852,0.019974
2022-06-27,50.075,0.9122,0.344826,0.000571
2022-06-28,59.891,1.2436,0.385448,0.050735
2022-06-29,61.032,1.5554,0.382148,0.006678
2022-06-30,65.850,2.0870,0.343080,0.030546
2022-07-01,58.453,2.1897,0.358706,-0.028171
2022-07-04,57.924,2.2234,0.356806,-0.002188
2022-07-05,59.300,2.3004,0.353984,0.007609
2022-07-06,65.551,2.7258,0.371314,0.038906
2022-07-07,56.455,2.6468,0.399433,-0.036480
2022-07-08,59.977,2.7792,0.384351,0.022294
2022-07-11,62.026,2.9903,0.374366,0.013510
2022-07-12,66.736,3.4787,0.385506,0.034238
2022-07-13,68.774,3.9962,0.376894,0.016172
2022-07-14,68.986,4.3741,0.373118,0.001645
2022-07-15,65.779,4.4999,0.375001,-0.010976
2022-07-18,58.647,4.2543,0.392823,-0.026960
2022-07-19,59.467,4.0642,0.375001,0.004799
2022-07-20,58.495,3.8294,0.376621,-0.003717
2022-07-21,65.756,4.0773,0.381561,0.044945
2022-07-22,62.228,4.0819,0.387090,-0.012942
2022-07-25,63.444,4.1214,0.386211,0.007548
2022-07-26,54.816,3.7315,0.378662,-0.034018
2022-07-27,53.008,3.2964,0.380773,-0.008200
2022-07-28,54.236,2.9837,0.366914,0.006245
2022-07-29,57.799,2.9021,0.353727,0.018627
2022-08-01,63.252,3.1543,0.366663,0.032358
2022-08-02,63.120,3.3108,0.367249,-0.000471
2022-08-03,56.619,3.1274,0.358940,-0.024080
2022-08-04,58.587,3.0631,0.329274,0.010573
2022-08-05,60.763,3.1082,0.323872,0.011874
2022-08-08,62.793,3.2339,0.323116,0.011316
2022-08-09,58.454,3.1279,0.308787,-0.014906
2022-08-10,63.073,3.2909,0.316286,0.025434
2022-08-11,63.502,3.4088,0.316288,0.002434
2022-08-12,66.264,3.6432,0.316056,0.015896
2022-08-15,70.629,4.1153,0.306743,0.028529
2022-08-16,72.546,4.6036,0.307926,0.013904
2022-08-17,73.472,5.0158,0.305521,0.006803
2022-08-18,78.897,5.8627,0.310447,0.047861
2022-08-19,79.477,6.5339,0.301275,0.005861
2022-08-22,77.122,6.9085,0.305467,-0.006011
2022-08-23,77.474,7.1609,0.264221,0.002963
2022-08-24,81.004,7.6996,0.268494,0.033121
2022-08-25,81.311,8.0749,0.269523,0.003112
2022-08-26,82.480,8.4346,0.268140,0.011927
2022-08-29,84.808,8.9790,0.262927,0.026806
2022-08-30,80.075,9.1550,0.271130,-0.010783
2022-08-31,66.361,8.6792,0.296548,-0.037485
2022-09-01,67.453,8.3002,0.296633,0.007087
2022-09-02,68.328,7.9818,0.296750,0.005554
2022-09-05,64.011,7.4709,0.306480,-0.012876
2022-09-06,67.359,7.2426,0.296988,0.019664
2022-09-07,69.552,7.1660,0.291540,0.013867
2022-09-08,62.481,6.7352,0.310227,-0.021390
2022-09-09,64.592,6.4784,0.309153,0.011901
2022-09-12,63.347,6.1523,0.301218,-0.003814
2022-09-13,53.953,5.3983,0.328117,-0.032127
2022-09-14,56.160,4.8811,0.328847,0.010465
2022-09-15,56.022,4.4138,0.284722,-0.000495
2022-09-16,51.629,3.7902,0.290582,-0.015896
2022-09-19,54.486,3.4124,0.292440,0.012005
2022-09-20,57.072,3.2234,0.294577,0.011238
2022-09-21,53.477,2.8783,0.273415,-0.012206
2022-09-22,55.739,2.6959,0.275430,0.009308
2022-09-23,60.817,2.8211,0.284455,0.022831
2022-09-26,56.103,2.6838,0.271062,-0.015179
2022-09-27,58.117,2.6627,0.271517,0.008880
2022-09-28,58.249,2.6233,0.234674,0.000561
2022-09-29,67.973,3.2327,0.292709,0.050352
2022-09-30,56.095,3.1075,0.330775,-0.040471
2022-10-03,58.985,3.1859,0.330674,0.015796
2022-10-04,57.354,3.1261,0.325336,-0.006237
2022-10-05,56.894,3.0205,0.321825,-0.001705
2022-10-06,64.499,3.4755,0.343886,0.042335
2022-10-07,64.551,3.7968,0.342534,0.000311
2022-10-10,71.654,4.7071,0.379666,0.049801
2022-10-11,68.768,5.2302,0.357646,-0.009227
2022-10-12,69.918,5.7007,0.357414,0.008211
2022-10-13,66.578,5.8522,0.361632,-0.010298
2022-10-14,62.069,5.6893,0.360690,-0.014695
2022-10-17,62.413,5.5238,0.360275,0.001874
2022-10-18,60.602,5.2487,0.361764,-0.005716
2022-10-19,61.635,5.0445,0.356196,0.004954
2022-10-20,48.821,4.1660,0.399638,-0.045810
2022-10-21,57.626,4.0437,0.420930,0.044554
2022-10-24,56.842,3.8561,0.415834,-0.003174
2022-10-25,63.384,4.2220,0.433244,0.038844
2022-10-26,57.909,4.1380,0.443996,-0.021656
2022-10-27,59.101,4.1262,0.410536,0.006936
2022-10-28,68.792,5.0986,0.442629,0.070129
2022-10-31,64.138,5.5098,0.451636,-0.018634
2022-11-01,57.047,5.2701,0.470599,-0.032397
2022-11-02,54.802,4.8505,0.473799,-0.011523
2022-11-03,56.524,4.6270,0.453417,0.010895
2022-11-04,58.985,4.6338,0.455435,0.015753
2022-11-07,63.166,5.0234,0.433003,0.028888
2022-11-08,61.918,5.1912,0.431730,-0.005154
2022-11-09,54.185,4.7253,0.451465,-0.034750
2022-11-10,52.410,4.1709,0.451080,-0.009070
2022-11-11,57.015,4.1005,0.456629,0.027785
2022-11-14,58.725,4.1623,0.457389,0.010745
2022-11-15,50.130,3.5084,0.485166,-0.042553
2022-11-16,50.081,2.9521,0.485061,-0.000271
2022-11-17,55.400,2.9431,0.462009,0.031259
2022-11-18,62.170,3.6207,0.465174,0.047284
2022-11-21,63.853,4.3149,0.464705,0.012857
2022-11-22,64.823,4.9272,0.448588,0.007305
2022-11-23,58.572,4.9162,0.452931,-0.026785
2022-11-24,54.838,4.5663,0.459734,-0.018051
2022-11-25,55.095,4.2640,0.385790,0.001532
2022-11-28,57.084,4.1582,0.381569,0.011570
2022-11-29,59.334,4.2364,0.362067,0.013264
2022-11-30,56.876,4.0898,0.361276,-0.010021
2022-12-01,51.263,3.5368,0.373791,-0.024842
2022-12-02,47.941,2.8079,0.375461,-0.016611
2022-12-05,43.460,1.8276,0.369528,-0.024953
2022-12-06,46.541,1.2547,0.374281,0.014655
2022-12-07,38.634,0.0384,0.396163,-0.050370
2022-12-08,37.744,-1.0121,0.395732,-0.006832
2022-12-09,39.993,-1.6770,0.382891,0.010397
2022-12-12,46.825,-1.6944,0.402364,0.033985
2022-12-13,47.232,-1.6583,0.372582,0.002069
2022-12-14,51.589,-1.2785,0.380760,0.022528
2022-12-15,49.921,-1.0913,0.365344,-0.008278
2022-12-16,46.821,-1.1700,0.322088,-0.015877
2022-12-19,44.194,-1.4295,0.318073,-0.014337
2022-12-20,51.118,-1.1213,0.344895,0.034102
2022-12-21,55.181,-0.5310,0.345288,0.022373
2022-12-22,57.148,0.1099,0.341942,0.011223
2022-12-23,67.393,1.7562,0.430196,0.073766
2022-12-26,67.339,3.0225,0.429439,-0.000211
2022-12-27,69.102,4.2161,0.429722,0.014147
2022-12-28,70.010,5.2259,0.426963,0.007267
2022-12-29,68.690,5.8830,0.414492,-0.004381
2022-12-30,74.697,7.2031,0.436738,0.051456
2023-01-02,77.845,8.7551,0.426373,0.033645
2023-01-03,69.217,9.3132,0.451179,-0.030288
2023-01-04,67.090,9.4960,0.399062,-0.008297
